"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"SRR8812683"	76.23	20.88	2.22
"SRR2090167"	94.18	3.77	0.03
"SRR8812717"	75.18	22.2	2.2
"SRR2090169"	97.21	2.65	0.13
"SRR2177953"	94.64	4.98	0.02
"SRR7897068"	89.25	10.71	0.04
"SRR2546421"	93.24	6.61	0.12
"SRR2844600"	59.7	39.83	0.15
"SRR8816636"	82.53	17.26	0.14
"SRR2107183"	92.6	7.18	0.09
"SRR8813305"	89.34	10.29	0.22
"SRR8816698"	62.35	37.26	0.22
"SRR8812781"	64.62	32.92	1.75
"SRR5423071"	85.49	3.08	11.41
"SRR8816774"	74.45	23.77	1.44
"SRR5829546"	96.42	3.39	0
"SRR8815112"	75.91	21.22	2.33
"SRR8812727"	84.15	13.75	1.78
"SRR8812408"	70.92	25.55	2.91
"SRR8812845"	81.67	15.85	2.05
"SRR8814849"	78.74	20.05	0.68
"SRR2546429"	85.94	13.98	0.06
"SRR8812500"	66.38	26.68	5.25
"SRR8816627"	83.81	15.8	0.3
"SRR7897067"	86.47	13.5	0.02
"SRR8819109"	36.8	13.16	43.2
"SRR8819327"	20.05	2.49	74.63
"SRR5423074"	49.73	50.26	0.01
"SRR2177951"	94.69	4.95	0.04
"SRR8816634"	83.56	16.27	0.1
"SRR8812656"	71.08	22.94	4.99
"SRR8816625"	66.31	33.53	0.08
"SRR8812749"	69.91	26.68	2.83
"SRR8816745"	92.53	7.37	0.08
"ERR712371"	90.59	9.11	0.28
"SRR8812665"	82.97	15	1.51
"SRR2177968"	90.31	9.07	0.2
"SRR5829544"	95.49	4.04	0.01
"SRR1168486"	48.05	11.19	0.07
"SRR2177952"	87.66	11.74	0.58
"SRR3719568"	94.56	4.55	0.1
"SRR8812587"	72.78	24.81	2.01
"SRR8816647"	77.7	21.58	0.56
"SRR8815026"	70.78	26.72	1.66
"SRR8812690"	65.47	30.35	3.16
"SRR2090153"	88.51	11.15	0.12
"SRR8812576"	64.66	23.85	9.03
"SRR8815319"	69.85	22.91	5.81
"SRR5204207"	83.46	16.51	0.02
"SRR2107216"	83.95	15.74	0.04
"SRR8816675"	71.46	26.55	1.45
"SRR8812821"	79.47	18.14	1.56
"SRR3719653"	83.84	10.44	5.54
"SRR3719567"	93.3	5.79	0.07
"SRR3719654"	94.31	4.5	0.17
"SRR8812736"	79.73	15.93	3.89
"SRR8815261"	73.04	22.38	3.81
"SRR5422828"	82.59	17.39	0.02
"SRR8812643"	79.74	9.94	9.34
"SRR8816669"	71.28	28.24	0.32
"SRR8812629"	70.41	27.69	1.21
"SRR8814955"	80.49	17.07	1.69
"SRR8816808"	56.47	43.19	0.19
"SRR7907974"	92.82	6.87	0.3
"SRR6439740"	52.45	47.17	0.28
"SRR8815102"	82.08	12.4	5.13
"SRR8816710"	55.05	43.44	1
"SRR8185552"	95.75	2.91	1.3
"SRR8816775"	89.21	10.66	0.09
"SRR8814506"	48.04	51.87	0.05
"SRR8812502"	69.56	28.1	1.84
"SRR5829545"	96.32	3.66	0.01
"SRR8816712"	62.93	36.28	0.51
"SRR8812874"	56.23	41.09	1.89
"SRR8816718"	71.61	27.72	0.51
"SRR8816645"	83.2	16.19	0.51
"SRR8812865"	69.69	28.21	1.63
"SRR3719569"	95.65	3.55	0.1
"SRR8814852"	73.75	24.76	0.89
"SRR8816686"	89.87	9.83	0.26
"SRR8816752"	89.1	10.42	0.43
"SRR8816679"	85.44	14.25	0.23
"SRR8816696"	72.73	27.12	0.09
"SRR8814986"	72.93	20.91	4.72
"SRR8814965"	80.1	16.81	2.68
"SRR8816779"	91.02	7.85	0.99
"SRR8814671"	69.34	28.96	1.33
"SRR8816727"	68.99	30.59	0.26
"SRR8816756"	95.12	3.87	0.98
"SRR8816671"	66.25	32.12	1.21
"SRR8812446"	74.75	23.38	1.16
"SRR8814628"	71.39	27.29	0.94
"SRR8812858"	77.06	20.01	2.29
"SRR2895133"	72.89	24.33	2.33
"SRR8818209"	72.21	27.65	0.07
"SRR8816706"	52.79	46.25	0.47
"SRR8815099"	77.17	12.35	9.8
"SRR3719565"	97.46	2.33	0.02
"SRR8812561"	84.66	12.55	1.59
"SRR8816793"	79.71	19.81	0.39
"SRR2107218"	85.4	14.19	0.16
"SRR8816673"	69.7	28.88	1.09
"SRR8818341"	94.63	5.21	0.14
"SRR8816651"	72.47	27.4	0.06
"SRR8816723"	87.6	12.25	0.09
"SRR8816812"	74.33	25.25	0.3
"SRR8815156"	57.96	35.87	4.3
"SRR8815180"	83.35	14.25	1.08
"SRR8816688"	41.98	57.79	0.08
"SRR8816649"	77.74	21.45	0.67
"SRR8812510"	58.95	39.31	1.1
"ERR712380"	72.57	19.29	0.01
"SRR8812412"	81.53	15.6	2.49
"SRR8812480"	81.94	11.83	5.67
"SRR8816725"	81.24	18.54	0.13
"SRR2546426"	95.19	4.71	0.06
"SRR8816708"	62.9	36.31	0.52
"SRR8815060"	85.87	11.52	2.32
"SRR8816791"	75.16	23.77	0.87
"SRR8815366"	81.77	9.68	8.05
"SRR8815140"	76.94	17.77	4.85
"SRR8816690"	53.99	45.66	0.18
"SRR7907972"	89.89	9.74	0.33
"SRR8816667"	79.89	19.9	0.12
"SRR8813308"	86.19	13.62	0.1
"SRR8816659"	84.81	14.26	0.79
"SRR8815352"	64.99	32.3	1.87
"SRR8812760"	78.07	19.47	1.57
"SRR7897069"	79.72	20.12	0.14
"SRR8819106"	42.05	2.77	53.98
"SRR8816702"	54	44.94	0.53
"SRR8819330"	28.28	17.15	40.42
"SRR8816783"	88.6	11.12	0.22
"SRR5829542"	96.73	2.81	0
"SRR8816750"	76.52	23.19	0.21
"SRR8816810"	78.83	20.94	0.16
"SRR8814844"	23.7	76.2	0.07
"SRR8818205"	85.94	13.89	0.12
"SRR8814878"	83.13	15.86	0.79
"SRR8816749"	89.46	10.4	0.1
"SRR8819322"	21.92	2.39	72.52
"SRR7907975"	89.35	10.49	0.14
"SRR8816656"	72.5	26.69	0.59
"SRR8814928"	53.59	43.69	1.79
"SRR8816743"	82.42	17.15	0.33
"SRR8816789"	81.76	16.19	1.71
"SRR8816814"	81.14	18.69	0.11
"SRR8816653"	86.46	13.07	0.38
"SRR7907978"	90.33	8.98	0.67
"SRR8816802"	88.6	8.89	2.28
"SRR8815374"	66.8	30.63	1.77
"SRR1658469"	93.26	2.77	0.01
"SRR8814946"	83.47	13.71	1.08
"SRR8816661"	74.75	24.89	0.23
"SRR8816785"	47.78	51.88	0.15
"SRR8816692"	35.55	63.23	0.51
"SRR8816676"	74.18	25.72	0.05
"SRR8816697"	65.16	33.87	0.66
"SRR8819108"	37.68	11.64	45.47
"SRR8818207"	87.01	12.79	0.14
"SRR8816761"	53.69	45.26	0.57
"SRR8812728"	65.86	32.2	1.16
"SRR8814425"	86.65	12.63	0.59
"SRR8816758"	88.67	9.31	1.86
"SRR8816639"	61.04	37.77	0.82
"SRR8816683"	87.18	12.23	0.5
"SRR7907963"	92.99	6.76	0.24
"ERR3211551"	50.85	48.98	0.04
"SRR7907968"	90.51	9.2	0.26
"SRR8818201"	86.86	13.03	0.06
"SRR8816681"	79.56	19.95	0.36
"SRR8816803"	51.1	47.09	1.02
"SRR8816754"	86.89	12.22	0.76
"ERR3211652"	51.8	48.05	0.03
"SRR8426590"	83.75	16.03	0.18
"SRR8816731"	63.42	35.54	0.73
"ERR3211626"	60.77	38.98	0.1
"SRR7907964"	91.59	7.96	0.43
"SRR8426598"	57.27	42.08	0.12
"SRR7907983"	91.29	8.3	0.39
"SRR7907966"	93.25	6.51	0.23
"SRR7907985"	92.32	7.27	0.4
"ERR3211632"	2.15	97.72	0.1
"SRR7907986"	92.2	7.25	0.53
"SRR8426588"	91.19	8.72	0.07
"SRR8426595"	92.81	7.07	0.11
"SRR8426589"	85.13	13.81	0.76
