"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"SRR6837573"	49.39	50.48	0.04
"SRR6837554"	88.01	11.89	0.03
"SRR6800334"	78.67	20.66	0.01
"SRR6800329"	79.38	20.15	0.01
"SRR6284162"	94.7	5.28	0.01
"SRR7648291"	96.52	0.38	0.17
"SRR5916478"	75.84	22.22	1.2
"SRR5916156"	91.77	7.04	1.19
"SRR6837563"	43.58	56.31	0.06
"SRR5512147"	95.82	3.76	0.2
"SRR5916050"	92.47	7.46	0.07
"SRR7648270"	41.55	0.15	0.07
"SRR5916627"	88.39	9.93	1.31
"SRR5917330"	83.27	12.4	4.01
"SRR8821159"	94.64	5.29	0.06
"SRR5916193"	93.46	6.38	0.15
"SRR7265440"	97.36	2.15	0.06
"SRR6837572"	54.2	45.21	0.46
"SRR6220867"	97.51	2.43	0.06
"SRR5917663"	96.57	1.94	1.31
"SRR6837576"	61.23	38.6	0.04
"SRR5916173"	96.03	3.92	0.04
"SRR5916065"	94.19	5.7	0.1
"SRR5916057"	92.35	7.56	0.09
"SRR7042361"	94.6	5.34	0.05
"SRR6837582"	90.93	8.88	0.05
"SRR6284161"	80.99	18.68	0.01
"SRR8821151"	94.15	5.71	0.14
"SRR5917492"	88.24	9.95	1.71
"SRR6800325"	81.9	17.76	0.01
"SRR5916730"	64.93	33.2	1.2
"SRR5916340"	94.93	4.98	0.07
"SRR5916035"	95.48	4.41	0.04
"SRR5916336"	95.08	4.89	0.02
"SRR7648294"	79.86	0.41	0.16
"SRR5916395"	94.43	5.46	0.09
"SRR5916656"	76.26	21.68	1.48
"SRR5916321"	95.81	4.13	0.05
"SRR5916069"	95.58	4.34	0.06
"SRR5916257"	95.03	4.92	0.02
"SRR5916087"	92.34	7.58	0.08
"SRR5916337"	94.99	4.98	0.02
"SRR5916548"	83.86	13.56	1.46
"SRR5916047"	94.62	5.3	0.07
"SRR5916567"	88	8.47	3.22
"SRR5916471"	90.2	8.16	1.36
"SRR6837568"	10.08	89.72	0.07
"SRR5512141"	94.87	4.4	0.71
"SRR5916868"	75.53	23.21	1.01
"SRR5916433"	86.87	8.19	4.2
"SRR5917137"	79.04	15.46	4.84
"SRR5917112"	79.75	16.95	2.96
"SRR5916184"	93.91	6.02	0.06
"SRR5916209"	93.51	6.4	0.07
"SRR6837566"	88.9	11.01	0.05
"SRR5916521"	85.82	10.73	3.25
"SRR6837584"	36.84	62.92	0.18
"SRR5916161"	89.77	10.08	0.14
"SRR5916461"	88.92	9.87	1.07
"SRR5916225"	93.03	6.83	0.13
"SRR6820482"	99.65	0.28	0.06
"SRR5916790"	70.86	11.01	16.83
"SRR5916601"	72.97	25.36	0.81
"SRR5916695"	84.01	14.2	1.48
"SRR5917318"	70.71	18.97	0.34
"SRR5916420"	93.24	6.61	0.15
"SRR5916493"	83.2	14.04	2.36
"SRR5916405"	92.66	7.3	0.04
"SRR5916448"	81.7	15.77	2.38
"ERR2108713"	97.32	2.4	0.24
"SRR5917442"	89.03	9.27	1.23
"SRR5916874"	85.89	9.4	4.41
"SRR5917202"	85.26	13.29	0.97
"SRR5916384"	92.55	7.31	0.13
"SRR6837550"	47.19	52.66	0.05
"SRR5916806"	78.4	20.02	1.33
"SRR5916778"	80.45	16.82	1.95
"SRR5916692"	86.39	11.67	1.11
"SRR5916338"	93.77	6.21	0.01
"SRR5916189"	93.52	6.44	0.03
"SRR5917553"	91.41	5.62	1.21
"SRR5916879"	87.86	10.47	1.3
"SRR5917557"	87.74	9.76	0.92
"SRR5917061"	88.41	8.27	3
"SRR5916527"	88.03	7.38	4.04
"SRR5916848"	77.34	18.06	4.07
"DRR092708"	81.97	16.78	1.09
"SRR5916425"	94.73	5.16	0.11
"SRR5916577"	70.05	14.56	14.03
"SRR5918472"	88.34	9.31	1.95
"SRR5915952"	92.11	7.78	0.11
"SRR5917023"	81.14	13.18	5.31
"SRR5917627"	92.15	4.61	1.55
"SRR5918739"	78.8	13.73	0.32
"SRR5917301"	78.5	10.63	10.39
"SRR5918446"	73.54	24.73	0.69
"SRR5916639"	79.19	18.39	1.78
"SRR5916561"	74.66	15.8	0.58
"SRR5916712"	80.68	16.52	2.1
"SRR5918402"	77.82	19.2	2.03
"SRR5917260"	71.42	27.09	0.96
"SRR5916850"	78.71	19.66	1.29
"SRR5916531"	80.64	15.63	3.28
"SRR5916745"	82.81	15.04	1.5
"SRR5917881"	89.42	9.62	0.4
"SRR5917680"	96.81	2.09	0.92
"SRR5917882"	96.66	1.67	1.34
"SRR5917028"	86.95	11.06	1.68
"SRR5917101"	77.16	20.87	0.95
"SRR5917242"	78	15.72	5.49
"SRR5917001"	62.89	35.94	0.62
"SRR5918463"	87.29	9.86	1.62
"SRR5917502"	90.15	8.06	1.35
"SRR5917686"	87.87	10.72	0.62
"SRR5916794"	89.1	8.21	2.21
"SRR5918406"	59.15	38.98	1.35
"SRR5917395"	77.14	9.72	0.46
"SRR5916773"	74.36	23.56	1.5
"SRR5916380"	93.93	5.97	0.09
"SRR5917835"	91.64	6.05	2.26
"SRR5917859"	96.97	1.87	0.87
"SRR5918524"	78.03	19.8	1.11
"SRR5918398"	76.1	21.61	1.38
"SRR5917095"	69.57	20.62	4.18
"SRR5916140"	95.09	4.85	0.05
"SRR5917518"	84.79	13.68	1.3
"SRR5917844"	87.22	10.74	1.49
"SRR5918470"	86.54	9.09	3.89
"SRR5916650"	72.93	24.67	1.72
"SRR5916815"	84.9	10.65	4.01
"SRR5916339"	93.67	6.28	0.04
"SRR5918415"	80.49	15.7	2.99
"SRR5917622"	90.71	7.71	1.52
"SRR5918594"	81.08	15.19	2.68
"SRR5918595"	81.65	16.36	1.58
"SRR5917457"	96.77	1.88	1.04
"SRR5918613"	85.33	11.66	1.23
"SRR5917642"	93.36	4.92	1.29
"SRR5917795"	96.87	2.15	0.8
"SRR5918438"	84.09	12.12	1.77
"SRR5918481"	74.07	23.94	1.63
"SRR5917034"	80.99	16.27	2.12
"SRR5918431"	86.2	9.46	3.61
"SRR5917166"	66.96	31.87	0.69
"SRR5917220"	80.55	8.47	10.52
"SRR5917654"	87.31	9.91	0.84
"SRR5918442"	82.53	15.65	1.36
"SRR5918710"	72.71	22.77	0.46
"SRR5918410"	74.87	22.54	2.24
"SRR5918635"	77.74	20.69	1.1
"SRR5917514"	86.94	10.63	1.75
"SRR5918478"	85.09	12.41	1.77
"SRR5917348"	84.32	9.98	5.4
"SRR5917281"	63.98	29.13	3.65
"SRR5918427"	76.59	20.58	2.06
"SRR5917848"	91.94	6.43	0.86
"SRR5918694"	84.76	10.65	0.29
"SRR5917617"	95.48	3.21	1.07
"SRR5917638"	90.85	6.45	1.77
"SRR5918489"	86.84	8.67	2.54
"SRR5917706"	91.79	6.57	1.58
"SRR5918781"	62.15	36.53	0.97
"SRR5918458"	85.58	12.36	1.75
"SRR5916921"	77.49	20.86	1.3
"SRR5916818"	81.85	16.35	1.34
"SRR5918514"	77.2	20.63	1.35
"SRR5918894"	92.74	7.19	0.06
"SRR5918557"	89.8	7.78	1.47
"SRR5918419"	82.87	14.16	2.47
"SRR5917172"	73.9	15.18	10.19
"SRR5918423"	82.21	15.41	1.48
"SRR5918625"	80.81	16.02	2.47
"SRR5918466"	73.12	25.09	1.45
"SRR5918619"	69.77	27.32	1.88
"SRR5918586"	88.14	9.21	1.14
"SRR5918639"	84.97	11.59	3.15
"SRR5917084"	84.89	13.57	1.18
"SRR5917507"	96.2	2.51	1
"SRR5918662"	85.4	8.54	3.44
"SRR5918920"	95.18	4.79	0.02
"SRR5918629"	80.5	13.74	3.61
"SRR5918537"	75.75	22.28	1.21
"SRR5917822"	89.93	8.23	1.34
"SRR5918829"	75.24	16.46	0.9
"SRR5917756"	96.9	1.65	1.14
"SRR5918599"	84.62	13.63	0.89
"SRR5918802"	79.36	15.59	2.74
"SRR5917690"	87.68	10.55	0.7
"SRR5918852"	80.24	11.89	1.37
"SRR5918667"	84.19	9.52	5.55
"SRR5918858"	61.83	31.41	4.86
"SRR5918683"	80.68	13.98	3.1
"SRR5918559"	87.17	7.45	5.15
"SRR5918502"	82.1	14.99	1.4
"SRR5918450"	72.25	25.68	1.1
"SRR5918488"	87.26	8.74	3.66
"SRR5918979"	94.62	5.33	0.03
"SRR5918735"	70.75	26.9	1.82
"SRR5918790"	87.92	9.04	1.02
"SRR5918483"	84.05	13.01	2.12
"SRR5918714"	85.85	10.73	0.86
"SRR5918748"	79.3	15.18	4.51
"SRR5918506"	70.38	27.62	1.12
"SRR5918702"	77.08	19.83	2.44
"SRR5918718"	72.68	26.03	0.4
"SRR5918839"	70.1	27.21	1.82
"SRR5918563"	78.59	18.03	2.07
"SRR5918690"	84.31	10.51	4.63
"SRR5918677"	73.13	17.26	0.42
"SRR5916691"	89.41	8.83	0.86
"SRR5917873"	87.76	10.77	1.13
"SRR5918486"	88.44	6.13	3.19
"SRR5918474"	74.72	23.89	1.06
"SRR5918615"	69.65	28.1	1.23
"SRR5918827"	79.24	18.01	1.69
"SRR5918724"	80.65	13.54	4.3
"SRR5917448"	88.7	9.24	1.59
"SRR5918798"	79.46	11.37	0.28
"SRR5918990"	92.44	7.5	0.06
"SRR5918916"	95.19	4.79	0.02
"SRR5918576"	72.8	25.22	1.72
"SRR5918785"	78.72	19.6	1.45
"SRR5917650"	78.74	20.51	0.49
"SRR5918582"	78	20.17	0.94
"SRR5918994"	94.06	5.65	0.04
"SRR5918982"	95.26	4.56	0.18
"SRR5918973"	96.01	3.94	0.05
"SRR5918924"	90.82	9.09	0.08
"SRR5918731"	62.94	24.76	0.27
"SRR5918493"	79.63	17.43	2.47
"SRR5918454"	74.43	23.51	1.72
"SRR5918607"	82.45	16.5	0.84
"SRR5918980"	93.8	6.12	0.08
"SRR5918765"	87.36	10.05	1.71
"SRR5918891"	82.89	13.81	2.51
"SRR5918963"	94.77	5.14	0.08
"SRR5918929"	90.85	9.02	0.12
"SRR5919006"	95.01	4.9	0.08
"SRR5918900"	93.28	6.68	0.03
"SRR5918901"	91.97	7.89	0.14
"SRR5918915"	95.76	4.2	0.04
"SRR5918574"	69.06	29.56	1.05
"SRR5918969"	88.28	11.65	0.06
"SRR5918743"	74.08	22.99	1.85
"SRR5918531"	85.57	13.21	0.65
"SRR5918953"	94.97	5.01	0.01
"SRR5918946"	95.98	3.98	0.04
"SRR5918911"	94.81	4.91	0.02
"SRR5918993"	93.91	6.02	0.06
"SRR5918958"	93.66	6.26	0.07
"SRR5918902"	84.66	14.97	0.36
"SRR5918928"	92.49	6.93	0.02
"SRR5918843"	76.12	20.88	2.25
"SRR5918726"	74.32	23.77	1.11
"SRR5918541"	77.52	19.92	2.16
"SRR5918945"	96.41	3.51	0.07
"SRR5918895"	91.38	8.56	0.05
"SRR5918971"	94.51	5.45	0.03
"SRR5918917"	96.41	3.57	0.01
"SRR5918904"	93.01	6.92	0.07
"SRR5918975"	94.31	5.63	0.05
"SRR5918959"	91.89	8.08	0.02
"SRR5918992"	94.89	5.07	0.03
"SRR5919000"	93.12	6.84	0.02
"SRR5918996"	94.88	4.81	0.03
"SRR5918954"	95.05	4.91	0.04
"SRR5919053"	94.36	5.28	0.02
"SRR5918498"	88.1	9.8	1.78
"SRR5918950"	89.59	10.31	0.1
"SRR5918952"	95.72	4.09	0.19
"SRR5918811"	81.73	13.46	2.02
"SRR5918918"	95.77	4.19	0.04
"SRR5918603"	63.33	34.64	1.42
"SRR5918769"	82.08	15.07	2.48
"SRR5918869"	78.04	17.35	0.46
"SRR5918922"	95.94	4.03	0.03
"SRR5918960"	91.02	8.95	0.02
"SRR5918906"	95.65	4.28	0.06
"SRR5918908"	94.43	5.52	0.04
"SRR5918737"	62.56	31.82	0.26
"SRR5918793"	84.67	11.72	0.55
"SRR5918932"	92.06	7.86	0.08
"SRR5918876"	83.14	14.93	1.64
"SRR5918913"	93.95	6.01	0.04
"SRR5918570"	80.12	18.66	0.94
"SRR5919095"	95.11	4.32	0.01
"SRR5918903"	95.38	4.54	0.07
"SRR5918823"	77.69	15.15	5.47
"SRR5918759"	79.49	10.44	0.61
"SRR5918955"	96.49	3.47	0.03
"SRR5918578"	78.69	18.92	1.57
"SRR5918961"	90.33	9.62	0.04
"SRR5918987"	95.56	4.24	0.19
"SRR5918944"	92.63	7.32	0.04
"SRR5918970"	94.99	4.98	0.02
"SRR5918978"	94.44	5.53	0.02
"SRR5919169"	94.53	4.71	0.5
"SRR5918833"	80.86	11.4	0.44
"SRR5919033"	88.74	11.17	0.08
"SRR5918989"	94.45	5.51	0.03
"SRR5919049"	92.53	6.65	0.02
"SRR5918957"	93.97	5.93	0.09
"SRR5919153"	94.96	5	0.03
"SRR5919123"	92.82	6.25	0.01
"SRR5918673"	76.27	15.08	0.57
"SRR5918805"	81.32	16.01	2.01
"SRR5918905"	94.85	5.09	0.06
"SRR5918985"	94.49	5.34	0.17
"SRR5918926"	92.1	7.83	0.06
"SRR5918898"	93.39	6.55	0.05
"SRR5918910"	92.39	7.56	0.05
"SRR5919089"	94.37	5.09	0.02
"SRR5919139"	92.6	6.1	0.02
"SRR5919060"	93.39	6.3	0.02
"SRR5919112"	92.11	7.54	0.03
"SRR5918965"	94.08	5.89	0.02
"SRR5919070"	94.26	5.64	0.09
"SRR5918872"	81.29	7.78	0.83
"SRR5918925"	92.21	7.71	0.07
"SRR5918706"	75.51	11.79	0.72
"SRR5918930"	91.03	8.85	0.11
"SRR5918921"	94.97	4.99	0.03
"SRR5919147"	94.25	5.39	0.01
"SRR5919099"	93.31	6.52	0.15
"SRR5918962"	95.12	4.79	0.05
"SRR5919146"	93.57	6.37	0.05
"SRR5919148"	92.1	7.22	0.07
"SRR5918977"	92.52	7.39	0.09
"SRR5918951"	92.57	4.91	0.04
"SRR5918949"	94.58	5.18	0.24
"SRR5919017"	90.75	9.04	0.2
"SRR5919016"	88.13	11.75	0.11
"SRR5919062"	92.22	6.69	0.04
"SRR5918931"	89.49	10.45	0.05
"SRR5918997"	92.69	7.27	0.03
"SRR5919109"	95.47	4.49	0.03
"SRR5919209"	95.63	4.14	0.01
"SRR5918896"	93.61	6.32	0.06
"SRR5918976"	95.82	4.12	0.05
"SRR5918919"	95.44	4.45	0.11
"SRR5918991"	92.72	6.98	0.01
"SRR5918972"	88.51	11.13	0.04
"SRR5918899"	94.9	5.07	0.02
"SRR5918907"	93.63	6.32	0.04
"SRR5919086"	93.28	6.24	0.02
"SRR5918943"	92.71	7.26	0.02
"SRR5919104"	92.72	7.22	0.06
"SRR5919105"	93.64	6.26	0.1
"SRR5918698"	74.22	21.88	0.69
"SRR5919091"	95.42	4.22	0
"SRR5919160"	94.21	5.71	0.08
"SRR5918897"	92.63	7.3	0.06
"SRR5919009"	93.31	6.01	0.03
"SRR5918914"	95.24	4.72	0.03
"SRR5919087"	94.29	5.32	0.02
"SRR5919096"	90.1	9.83	0.06
"SRR5919007"	93.56	6.39	0.05
"SRR5919054"	92.67	7.28	0.04
"SRR5919044"	92.42	7.5	0.08
"SRR5919183"	94.85	5.11	0.04
"SRR5919015"	91.35	8.58	0.06
"SRR5919133"	92.11	6.61	0.07
"SRR5919064"	91.42	7.38	0.06
"SRR5919167"	92.62	5.44	0.02
"SRR5919212"	94.95	4.69	0.01
"SRR5919111"	94.04	5.69	0.01
"SRR5919050"	93.56	6.37	0.06
"SRR5919047"	93.54	6.4	0.06
"SRR5919092"	94.86	4.77	0.02
"SRR5918984"	93.05	6.83	0.12
"SRR5918912"	94.92	4.79	0.02
"SRR5919071"	91.63	8.2	0.16
"SRR5919103"	95.89	4.08	0.03
"SRR5919066"	92.35	7.56	0.09
"SRR5919030"	90.63	7.97	0.04
"SRR5919121"	93.17	5.92	0.01
"SRR5919227"	93.54	6.44	0.01
"SRR5919106"	94.78	5.14	0.07
"SRR5919067"	91.92	7.99	0.08
"SRR5919107"	91.79	8.15	0.04
"SRR5918956"	94.27	5.61	0.05
"SRR5919088"	93.5	6.16	0.03
"SRR5919138"	93.7	6.24	0.06
"SRR5919072"	91.18	8.66	0.15
"SRR5918999"	94.82	5.14	0.03
"SRR5919102"	93.27	6.68	0.04
"SRR5919073"	89.4	10.41	0.18
"SRR5919204"	95.35	4.6	0.03
"SRR5919028"	90.91	8.92	0.16
"SRR5919108"	95.47	4.28	0.02
"SRR5918948"	91.59	8.37	0.03
"SRR5919159"	94.58	5.38	0.03
"SRR5919093"	93.99	5.92	0.08
"SRR5919151"	91.8	7.38	0.02
"SRR5918974"	94.52	5.42	0.05
"SRR5919218"	93.17	6.78	0.04
"SRR5919090"	94.24	5.27	0.03
"SRR5919158"	97.12	2.38	0
"SRR5919213"	95.72	3.89	0.01
"SRR5919094"	94.41	4.43	0.01
"SRR5919035"	92.93	7.02	0.04
"SRR5919032"	90.62	8.94	0.1
"SRR5919004"	94.71	5.24	0.05
"SRR5918947"	90.97	9	0.02
"SRR5919202"	94.3	5.43	0.01
"SRR5919217"	92.71	7.25	0.03
"SRR5919057"	93.45	5.66	0.02
"SRR5919184"	94.97	4.46	0.01
"SRR5919232"	95.48	3.95	0.01
"SRR5919164"	94.51	4.56	0.02
"SRR5919011"	90.35	9.57	0.07
"SRR5919043"	92.96	6.93	0.11
"SRR5918986"	93.75	6.14	0.11
"SRR5919048"	92.87	6.43	0.02
"SRR5919058"	94.47	5.49	0.03
"SRR5919197"	95.18	4.77	0.03
"SRR5919124"	94.14	5.32	0.04
"SRR5919113"	92.15	6.32	0.01
"SRR5919140"	95.57	4.38	0.05
"SRR5919226"	94.99	4.99	0.01
"SRR5919065"	92.96	6.89	0.14
"SRR5919200"	93.1	6.86	0.02
"SRR5919253"	93.84	6	0.16
"SRR5919224"	92.98	6.67	0
"SRR5918981"	95.37	4.59	0.03
"SRR5919241"	92.92	7.06	0.01
"SRR5919114"	92.33	6.13	0.01
"SRR5919097"	94.27	5.7	0.02
"SRR5919001"	94.49	5.43	0.07
"SRR5919150"	94.3	5.65	0.05
"SRR5918988"	95.24	4.71	0.05
"SRR5919029"	95.16	3.93	0.03
"SRR5919132"	91.88	7.94	0.17
"SRR5919135"	92.67	7.12	0.21
"SRR5919230"	94.9	5.08	0.01
"SRR5919163"	94.69	5.25	0.05
"SRR5919031"	94.29	2.94	0.02
"SRR5919199"	94.17	5.55	0.01
"SRR5919056"	94.59	5.38	0.03
"SRR5918998"	92.79	7.17	0.03
"SRR5919259"	93.23	6.73	0.04
"SRR5919052"	93.63	5.92	0.02
"SRR5919110"	93.92	5.82	0.01
"SRR5919142"	96.04	3.58	0
"SRR5919238"	96.69	3.25	0.06
"SRR5919100"	93.45	6.47	0.08
"SRR5919101"	93.43	6.54	0.02
"SRR5919234"	93.84	6.11	0.04
"SRR5919168"	94.03	5.93	0.03
"SRR5919223"	93.94	5.78	0
"SRR5919155"	95.21	4.25	0.01
"SRR5919074"	90.62	8.02	0.05
"SRR5919059"	93.86	6.1	0.04
"SRR5919162"	93.85	5.83	0.04
"SRR5919126"	93.67	6.28	0.05
"SRR5919098"	93.83	6.14	0.02
"SRR5919051"	92.37	7.58	0.05
"SRR5919201"	95.56	4.39	0.03
"SRR5919149"	93.35	6.35	0.03
"SRR5919129"	92.09	7.85	0.06
"SRR5919130"	92.49	7.14	0.02
"SRR5919216"	94.69	5.24	0.06
"SRR5919233"	95.1	4.86	0.03
"SRR5919219"	92.3	7.31	0.01
"SRR5919154"	95.05	4.91	0.03
"SRR5919214"	94.92	4.71	0.02
"SRR5919208"	95.57	4.39	0.04
"SRR5919242"	92.86	6.84	0.01
"SRR5919127"	96.22	3.74	0.02
"SRR5919211"	94.73	4.89	0.01
"SRR5919161"	92.86	6.69	0.03
"SRR5919248"	92.14	7.3	0.02
"SRR5919075"	94.49	4.48	0.03
"SRR5919207"	95.09	4.26	0.01
"SRR5919254"	93.45	6.47	0.07
"SRR5919220"	87.54	12.41	0.05
"SRR5919229"	94.84	4.93	0
"SRR5919014"	91.63	8.24	0.08
"SRR5919313"	92.85	7.09	0.06
"SRR5919225"	92.96	7	0.03
"SRR5919046"	92.63	6.78	0.02
"SRR5919228"	93.91	6.07	0.02
"SRR5919267"	95.21	4.73	0.06
"SRR5919063"	95.73	3.58	0.02
"SRR5918966"	95.47	4.48	0.04
"SRR5919194"	92.99	6.93	0.08
"SRR5919165"	94.63	4.44	0.01
"SRR5919294"	92.51	7.29	0.19
"SRR5919166"	93.18	6.46	0.07
"SRR5919055"	93.86	6.1	0.04
"SRR5919196"	94.19	4.86	0.03
"SRR5919240"	91.38	8.59	0.02
"SRR5919256"	93.05	6.89	0.05
"SRR5919221"	94.09	5.63	0.01
"SRR5919205"	93.18	6.74	0.07
"SRR5919291"	90.54	9.32	0.13
"SRR5919215"	95.99	3.87	0.13
"SRR5919249"	92.46	7.48	0.05
"SRR5919237"	94.08	5.89	0.02
"SRR5919314"	93.13	6.74	0.12
"SRR5919185"	93.86	5.81	0.05
"SRR5919244"	91.59	8.37	0.03
"SRR5923247"	94.93	5.01	0.05
"SRR5919203"	94.79	4.84	0.01
"SRR5919319"	94.21	5.54	0.25
"SRR5919005"	93.69	6.25	0.06
"SRR5919288"	92.63	7.2	0.15
"SRR5919222"	94.15	5.82	0.01
"SRR5919152"	94.08	5.89	0.03
"SRR5919198"	95.07	4.88	0.03
"SRR5924544"	84.51	10.51	4.37
"SRR5924463"	87.4	8.18	4.21
"SRR5919260"	92.18	7.75	0.06
"SRR5918995"	94.15	5.56	0.04
"SRR5919278"	91.49	8.4	0.1
"SRR5919136"	92.54	7.3	0.16
"SRR5919350"	92.62	7.28	0.09
"SRR5919272"	95.36	4.59	0.04
"SRR5919289"	94.12	5.74	0.14
"SRR5919262"	95.64	4.27	0.02
"SRR5923035"	93.12	6.82	0.06
"SRR5923201"	94.43	5.51	0.06
"SRR5919206"	93.31	6.63	0.04
"SRR5924576"	89.87	7.04	2.51
"SRR5919282"	93.45	6.51	0.03
"SRR5923263"	94.05	5.84	0.1
"SRR5919245"	90.55	9.27	0.17
"SRR5919250"	95.72	4.25	0.03
"SRR5924704"	82.22	15.78	1.69
"SRR5919115"	94.16	5.78	0.05
"SRR5919231"	94.14	5.84	0.01
"SRR5919345"	95.04	4.91	0.04
"SRR5923009"	96.23	3.72	0.05
"SRR5919353"	91.12	8.81	0.06
"SRR5924527"	92.85	4.99	1.72
"SRR5923187"	95.46	4.48	0.05
"SRR5919312"	92.52	6.8	0.02
"SRR5924534"	89.01	7.68	3.17
"SRR5924708"	86.25	6.51	6.85
"SRR5924650"	84.85	13.91	0.74
"SRR5919255"	93.84	6.11	0.05
"SRR5923119"	92.64	7.26	0.1
"SRR5919270"	93.87	6.07	0.05
"SRR5924772"	86.41	11.12	1.56
"SRR5919247"	95.32	4.62	0.05
"SRR5919308"	90.61	9.33	0.06
"SRR5919318"	95.08	4.9	0.03
"SRR5924454"	85.04	14.76	0.2
"SRR5924630"	91.8	5.49	1.14
"SRR5923116"	92.73	7.19	0.08
"SRR5919210"	96.78	2.99	0
"SRR5919315"	92.12	7.75	0.12
"SRR5923148"	91.35	8.53	0.12
"SRR5924669"	88.2	8.63	2.81
"SRR5924618"	90.73	6.72	1.95
"SRR5919235"	95.35	4.62	0.02
"SRR5919274"	93.71	6.09	0.19
"SRR5919261"	92.16	7.72	0.11
"SRR5919258"	91.41	8.51	0.07
"SRR5919236"	95.02	4.96	0
"SRR5923334"	95.76	4.08	0.16
"SRR5924493"	93.97	4.34	0.21
"SRR5923793"	91.66	8.25	0.09
"SRR5919277"	91.66	8.19	0.14
"SRR5919246"	92.35	7.3	0.01
"SRR5924461"	70.99	25.48	2.65
"SRR5923360"	94.58	5.33	0.09
"SRR5924774"	86.03	5.48	8.41
"SRR5919257"	95.04	4.92	0.04
"SRR5923070"	95.12	4.82	0.05
"SRR5924893"	93.36	3.75	2.47
"SRR5924510"	91.45	5.86	2.64
"SRR5919275"	92.72	7.13	0.14
"SRR5919293"	95.93	4.02	0.04
"SRR5923294"	94.49	5.45	0.06
"SRR5919343"	92.11	7.53	0.05
"SRR5924467"	76.76	19.88	3.03
"SRR5919307"	92.71	7.23	0.05
"SRR5919321"	94.82	4.31	0.01
"SRR5919344"	91.01	8.92	0.06
"SRR5923105"	94.4	5.54	0.06
"SRR5924830"	89.34	7.95	2.6
"SRR5923001"	94.92	5.03	0.05
"SRR5919305"	92.6	7.35	0.04
"SRR5919252"	94	5.95	0.04
"SRR5924627"	86.76	7.48	5.67
"SRR5924194"	41.83	57.95	0.17
"SRR5919309"	91.87	6.66	0.02
"SRR5922976"	95.69	4.26	0.05
"SRR5923275"	94.22	5.72	0.06
"SRR5923427"	94.66	5.29	0.04
"SRR5924530"	87.36	6.88	5.28
"SRR5919239"	91.94	8.02	0.02
"SRR5919316"	95.41	4.56	0.02
"SRR5919283"	93.63	6.34	0.01
"SRR5923242"	93.62	6.26	0.11
"SRR5924581"	87.33	10.02	1.84
"SRR5919311"	93.55	6.39	0.05
"SRR7632679"	66.39	0.54	0.15
"SRR5919317"	93.87	6.07	0.06
"SRR5919320"	93.77	6.13	0.09
"SRR5919271"	91.44	8.39	0.16
"SRR5923327"	96.38	3.56	0.05
"SRR5923059"	94.51	5.43	0.05
"SRR5919342"	92.66	6.95	0.03
"SRR5924625"	81.02	4.6	14.28
"SRR5924674"	90.92	4.57	3.68
"SRR5924721"	82.51	11.25	5.57
"SRR5923439"	96.59	3.37	0.04
"SRR5919292"	92.53	7.42	0.03
"SRR7406569"	77.98	22	0.01
"SRR5676424"	94.49	5.08	0.05
"SRR5924471"	84.06	11.89	3.67
"SRR5924517"	85.99	8.35	5.45
"SRR5924798"	65.12	31.82	2.17
"SRR5923023"	94.51	5.45	0.04
"SRR5924716"	73.29	22.51	3.26
"SRR5919357"	89.89	9.99	0.11
"SRR5923067"	94.3	5.65	0.04
"SRR5924941"	88.31	8.03	3.24
"SRR5919279"	93.35	6.62	0.02
"SRR5919286"	90.14	9.69	0.16
"SRR5924728"	82.63	14.27	2.69
"SRR7632675"	79.89	0.22	0.14
"SRR5919295"	96.97	2.98	0.05
"SRR5919290"	94.22	5.74	0.04
"SRR5924760"	87.66	8.2	3.65
"SRR7632678"	80.38	0.28	0.15
"SRR5924735"	78.84	19.58	1.37
"SRR5924867"	70.39	26.19	2.71
"SRR5924825"	84.62	13.76	1.31
"SRR7406600"	82.17	17.83	0.01
"SRR5919273"	94.8	5.1	0.09
"SRR5924863"	50.5	46.74	1.68
"SRR5923435"	94.42	5.29	0.28
"SRR5924594"	91.52	4.1	4.21
"SRR5924473"	85.29	6.42	8.17
"SRR5924767"	85.69	13.38	0.72
"ERR2431946"	98.56	1.15	0.13
"SRR5676431"	74.04	25.27	0.09
"SRR5923390"	94.74	5.15	0.11
"SRR5919280"	93.34	6.63	0.02
"SRR5919243"	91.36	8.37	0.01
"SRR5676451"	93.86	5.82	0.02
"SRR5923352"	94.59	5.34	0.06
"SRR5924678"	92.94	3.69	2.61
"SRR5924782"	92.16	4.77	1.15
"SRR5919346"	94.76	5.17	0.07
"SRR5924489"	92.45	4.23	2.76
"SRR5924856"	85.01	12.15	1.71
"SRR5924670"	92.78	5.38	1.4
"SRR5924756"	89.39	8.76	1.48
"SRR5676480"	83.28	16.18	0.08
"SRR5924526"	91.65	6.22	1.66
"SRR5923289"	94.37	5.52	0.1
"SRR5924569"	92.58	4.97	1.94
"SRR5919269"	92.24	7.4	0.04
"SRR5923115"	93.79	6.13	0.07
"SRR5924903"	90.82	6.61	1.83
"SRR5676452"	90.95	8.64	0.03
"SRR5676470"	60.78	38.54	0.03
"SRR5676461"	92.72	6.91	0.04
"SRR5923080"	95.16	4.78	0.06
"SRR5924592"	91.69	6.08	2.09
"SRR5924682"	78.45	19.99	0.86
"SRR5677480"	89.58	9.99	0.12
"SRR5676455"	89.97	9.7	0.01
